"feature_id","name","type"
"9724","2700066J21Rik","alias"
"9724","KIAA0266","alias"
"9724","UTP14B","alias"
"9723","M-SEMAH","alias"
"9723","M-SemaK","alias"
"9723","SEMAH","alias"
"9723","coll-5","alias"
"9722","6330408P19Rik","alias"
"9722","CAPON","alias"
"9721","GRIN2","alias"
"9721","KIAA0514","alias"
"972","DHLAG","alias"
"972","HLADG","alias"
"972","II","alias"
"972","Ia-GAMMA","alias"
"9719","GPHYSD1","alias"
"9717","PRELID4B","alias"
"9716","IBP160","alias"
"9716","fSAP164","alias"
"9712","RNTRE","alias"
"9712","TRE2NL","alias"
"9712","USP6NL-IT1","alias"
"9711","RUBICON","alias"
"9711","SCAR15","alias"
"9711","RUBCN","alias"
"971","CD72b","alias"
"971","LYB2","alias"
"9709","HERP","alias"
"9709","Mif1","alias"
"9709","SUP","alias"
"9708","PCDH-GAMMA-A8","alias"
"9706","ATG1B","alias"
"9706","Unc51.2","alias"
"9705","NZF3","alias"
"9705","ZC2H2C3","alias"
"9705","ZC2HC10","alias"
"9705","ZNF387","alias"
"9704","DDX34","alias"
"9704","HRH1","alias"
"9703","BCOX","alias"
"9703","BCOX1","alias"
"9703","CT101","alias"
"9703","FMP27","alias"
"9702","MVA2","alias"
"9702","PIG8","alias"
"9702","TSP57","alias"
"9701","KIAA0685","alias"
"9701","PP6R2","alias"
"9701","SAP190","alias"
"9701","SAPS2","alias"
"9700","ESP1","alias"
"9700","SEPA","alias"
"970","CD27-L","alias"
"970","CD27L","alias"
"970","CD27LG","alias"
"970","TNFSF7","alias"
"970","TNLG8A","alias"
"97","ACYPE","alias"
"9699","OBOE","alias"
"9699","RAB3IP3","alias"
"9699","RIM2","alias"
"9698","HSPUM","alias"
"9698","PUMH","alias"
"9698","PUMH1","alias"
"9698","PUML1","alias"
"9696","ROLT","alias"
"9696","TAX1BP2","alias"
"9695","EDEM","alias"
"9694","KIAA0103","alias"
"9694","TTC35","alias"
"9693","CNrasGEF","alias"
"9693","NRAPGEP","alias"
"9693","PDZ-GEF1","alias"
"9693","PDZGEF1","alias"
"9693","RA-GEF","alias"
"9693","RA-GEF-1","alias"
"9693","Rap-GEP","alias"
"9693","nRap GEP","alias"
"9692","MRPP3","alias"
"9692","PRORP","alias"
"9690","HECTH2","alias"
"969","AIM","alias"
"969","BL-AC/P26","alias"
"969","CLEC2C","alias"
"969","EA1","alias"
"969","GP32/28","alias"
"969","MLR-3","alias"
"9689","BZAP45","alias"
"9689","Nbla10236","alias"
"9688","NIC96","alias"
"9686","VGL-4","alias"
"9685","CLINT","alias"
"9685","ENTH","alias"
"9685","EPN4","alias"
"9685","EPNR","alias"
"9684","LRRC14A","alias"
"9682","JHDM3A","alias"
"9682","JMJD2","alias"
"9682","JMJD2A","alias"
"9682","TDRD14A","alias"
"9681","DEP.5","alias"
"9681","FFEVF","alias"
"9681","FFEVF1","alias"
"968","GP110","alias"
"968","LAMP4","alias"
"968","SCARD1","alias"
"9679","KIAA0140","alias"
"9679","bA12J10.2","alias"
"9679","smp","alias"
"9677","HISPPD2A","alias"
"9677","IP6K","alias"
"9677","IPS1","alias"
"9677","VIP1","alias"
"9677","hsVIP1","alias"
"96764","NCOA6IP","alias"
"96764","PIMT","alias"
"96764","PIPMT","alias"
"9675","KIAA0406","alias"
"9675","smg-10","alias"
"9672","SDCN","alias"
"9672","SYND3","alias"
"9670","IMP13","alias"
"9670","KAP13","alias"
"9670","LGL2","alias"
"9670","RANBP13","alias"
"967","LAMP-3","alias"
"967","ME491","alias"
"967","MLA1","alias"
"967","OMA81H","alias"
"967","TSPAN30","alias"
"9669","IF2","alias"
"9666","PPP1R66","alias"
"9666","UURF2","alias"
"9666","hRUL138","alias"
"9665","LKAP","alias"
"9665","LMKB","alias"
"9665","PPP1R34","alias"
"9665","MARF1","alias"
"96626","PINCH-3","alias"
"9662","CEP4","alias"
"9662","KIAA0635","alias"
"9662","MCPH8","alias"
"96610","IGL","alias"
"96610","IGLV","alias"
"96610","IGLV1","alias"
"966","16.3A5","alias"
"966","1F5","alias"
"966","EJ16","alias"
"966","EJ30","alias"
"966","EL32","alias"
"966","G344","alias"
"966","HRF-20","alias"
"966","HRF20","alias"
"966","MAC-IP","alias"
"966","MACIF","alias"
"966","MEM43","alias"
"966","MIC11","alias"
"966","MIN1","alias"
"966","MIN2","alias"
"966","MIN3","alias"
"966","MIRL","alias"
"966","MSK21","alias"
"966","p18-20","alias"
"9659","CMYA2","alias"
"9659","MMGL","alias"
"9658","HsT287","alias"
"9657","NPHP5","alias"
"9657","PIQ","alias"
"9657","SLSN5","alias"
"9656","NFBD1","alias"
"9655","CIS6","alias"
"9655","CISH6","alias"
"9655","Cish5","alias"
"9655","SOCS-5","alias"
"9653","dJ604K5.2","alias"
"9652","KIAA0372","alias"
"9652","Ski3","alias"
"9652","THES","alias"
"9651","PLC-L4","alias"
"9651","PLC-eta2","alias"
"9651","PLCL4","alias"
"9651","PLCeta2","alias"
"9650","CHPPR","alias"
"9650","FAM54A2","alias"
"965","LFA-3","alias"
"965","LFA3","alias"
"965","ag3","alias"
"9649","RALGEF2","alias"
"9649","RALGPS1A","alias"
"9648","GCC185","alias"
"9648","RANBP2L4","alias"
"9648","REN53","alias"
"9647","CAMKP","alias"
"9647","CaMKPase","alias"
"9647","FEM-2","alias"
"9647","POPX2","alias"
"9647","hFEM-2","alias"
"9646","SH2BP1","alias"
"9646","TSBP","alias"
"9646","p150","alias"
"9646","p150TSP","alias"
"9645","MICAL-2","alias"
"9645","MICAL2PV1","alias"
"9645","MICAL2PV2","alias"
"9644","FISH","alias"
"9644","SH3MD1","alias"
"9644","TKS5","alias"
"9643","MORFL2","alias"
"9643","MRGX","alias"
"9641","IKK-E","alias"
"9641","IKK-i","alias"
"9641","IKKE","alias"
"9641","IKKI","alias"
"9640","CAMOS","alias"
"9640","SCAR5","alias"
"9639","GEF10","alias"
"9639","SNCV","alias"
"9638","UNC-76","alias"
"9637","HUM3CL","alias"
"9636","G1P2","alias"
"9636","IFI15","alias"
"9636","IMD38","alias"
"9636","IP17","alias"
"9636","UCRP","alias"
"9636","hUCRP","alias"
"9635","CACC","alias"
"9635","CACC3","alias"
"9635","CLCRG2","alias"
"9635","CaCC-3","alias"
"9633","CXCDC2","alias"
"9633","MTLT","alias"
"9633","TESMIN","alias"
"9631","ATFB15","alias"
"9631","N155","alias"
"963","MOX44","alias"
"963","TSPAN25","alias"
"9629","CLCA3","alias"
"9628","GAP","alias"
"9628","HA117","alias"
"9628","S914","alias"
"9627","SYPH1","alias"
"9627","Sph1","alias"
"9626","GCAP3","alias"
"9625","AATYK","alias"
"9625","AATYK1","alias"
"9625","LMR1","alias"
"9625","LMTK1","alias"
"9625","PPP1R77","alias"
"9625","p35BP","alias"
"9623","SYN-1","alias"
"9623","TML1","alias"
"9622","AI2A1","alias"
"9622","ARM1","alias"
"9622","EMSP","alias"
"9622","EMSP1","alias"
"9622","KLK-L1","alias"
"9622","PRSS17","alias"
"9622","PSTS","alias"
"9622","kallikrein","alias"
"9620","ADGRC1","alias"
